../data/all_Normal.csv
,sttl,dttl,dur,ct_srv_dst,ct_dst_ltm,ct_srv_src,dmean,ct_state_ttl,ct_src_ltm,dload,ct_dst_src_ltm,sloss,trans_depth,ackdat,spkts,smean,dpkts,dloss,ct_src_dport_ltm,is_sm_ips_ports,dbytes,sbytes,sinpkt,tcprtt,djit,is_ftp_login,ct_ftp_cmd,sload,response_body_len,stcpb,ct_dst_sport_ltm,sjit,dinpkt,dtcpb,ct_flw_http_mthd,dwin,synack,swin,rate,service,proto,label,state,attack_cat,id
avg,94.8900752688172,81.84867741935484,1.0154067355376346,5.5350430107526885,3.431655913978495,5.829548387096774,221.43098924731183,0.6957204301075269,3.978978494623656,1788697.3669035465,3.8893548387096772,4.729784946236559,0.10011827956989247,0.022336496903225804,27.563172043010752,145.41266666666667,33.02793548387097,12.17183870967742,1.7793763440860215,0.03954838709677419,26138.19735483871,4092.444376344086,2344.19575630114,0.04908785270967742,837.5593299383441,0.014172043010752687,0.014258064516129033,29768115.01987971,3218.9432150537637,1491325398.3014624,1.1485806451612903,6491.784814191431,142.78789777998924,1480589396.1900969,0.14310752688172043,176.67578494623655,0.026751355806451615,183.594311827957,19588.290163112935,X,X,X,X,X,X
std,100.40238629942014,100.04454402739127,4.559351624867003,5.765585511331234,3.45551080049788,5.9277060433046715,306.9000362818064,1.1970909934386182,3.9587115083053392,3755007.0000447067,5.520520332818024,7.9107559116393436,0.3026193659262395,0.05831492458053528,53.2982653053718,198.033052815174,97.45643666564939,45.232249039576686,2.4054893402158344,0.194895644319769,128712.97160271053,12903.340789255266,11298.52305354188,0.12107587309925023,5566.660888540692,0.1183816158039002,0.11927621356806906,168418551.5094741,39995.70870293424,1430020599.3163917,1.5740261117546954,56895.60547379443,1603.8515398507059,1426246507.6403422,0.6493369813276385,117.62636994358148,0.07353633014707212,114.48749515182574,83965.6183787526,X,X,X,X,X,X

../data/svmexpone_Backdoor.csv
,sttl,dttl,dur,ct_srv_dst,ct_dst_ltm,ct_srv_src,dmean,ct_state_ttl,ct_src_ltm,dload,ct_dst_src_ltm,sloss,trans_depth,ackdat,spkts,smean,dpkts,dloss,ct_src_dport_ltm,is_sm_ips_ports,dbytes,sbytes,sinpkt,tcprtt,djit,is_ftp_login,ct_ftp_cmd,sload,response_body_len,stcpb,ct_dst_sport_ltm,sjit,dinpkt,dtcpb,ct_flw_http_mthd,dwin,synack,swin,rate,service,proto,label,state,attack_cat,id
avg,238.0,178.5,5.355721875,1.7083333333333333,1.375,2.3333333333333335,44.125,1.2916666666666667,2.0833333333333335,7094.599093208333,1.375,1.375,0.20833333333333334,0.04260104166666667,11.833333333333334,88.66666666666667,5.666666666666667,1.3333333333333333,1.25,0.0,362.25,1550.9583333333333,160.69684479166668,0.0715925,86.44194974999999,0.0,0.0,14535728.18416329,4.583333333333333,1597498290.8333333,1.25,2834.8605876666666,53.82564104166667,1558979845.4166667,0.16666666666666666,180.625,0.02899145833333333,180.625,18192.049894166666,X,X,X,X,X,X
std,53.0659966456864,114.541477203675,16.19968177484847,1.3987841942995431,0.5636562191028618,1.8408935028645435,35.13819443758221,0.45452967144315476,2.158638974498103,7105.924309878942,0.6332785063987777,1.0728660991319778,0.4982608642958916,0.03734948398179816,10.454929725041461,61.717546577578375,3.8586123009300755,1.0671873729054748,0.4330127018922193,0.0,316.88131979233697,3160.1696352037634,370.1077396130389,0.0631963382714273,126.49528943822774,0.0,0.0,33210237.41246973,21.773295315337293,1395129882.4307508,0.4330127018922193,4269.624558854861,75.74075963653331,1392584078.121746,0.372677996249965,115.90506621800446,0.03278473235615826,115.90506621800446,41503.01082218602,X,X,X,X,X,X

compare
,sttl,dttl,dur,ct_srv_dst,ct_dst_ltm,ct_srv_src,dmean,ct_state_ttl,ct_src_ltm,dload,ct_dst_src_ltm,sloss,trans_depth,ackdat,spkts,smean,dpkts,dloss,ct_src_dport_ltm,is_sm_ips_ports,dbytes,sbytes,sinpkt,tcprtt,djit,is_ftp_login,ct_ftp_cmd,sload,response_body_len,stcpb,ct_dst_sport_ltm,sjit,dinpkt,dtcpb,ct_flw_http_mthd,dwin,synack,swin,rate,service,proto,label,state,attack_cat,id
avgdiff,143.1099247311828,96.65132258064516,4.340315139462366,-3.8267096774193554,-2.056655913978495,-3.4962150537634407,-177.30598924731183,0.5959462365591398,-1.8956451612903225,-1781602.7678103382,-2.5143548387096772,-3.354784946236559,0.10821505376344087,0.02026454476344087,-15.729838709677418,-56.745999999999995,-27.3612688172043,-10.838505376344086,-0.5293763440860215,-0.03954838709677419,-25775.94735483871,-2541.486043010753,-2183.4989115094736,0.02250464729032258,-751.1173801883442,-0.014172043010752687,-0.014258064516129033,-15232386.83571642,-3214.35988172043,106172892.53187084,0.10141935483870967,-3656.9242265247644,-88.96225673832257,78390449.22656989,0.023559139784946226,3.949215053763453,0.002240102526881716,-2.969311827957,-1396.2402689462688,X,X,X,X,X,X
stddiff,1.4253637787492437,0.9660828935777139,0.951958852173191,-0.6637157093409919,-0.5951814457307342,-0.5898091147270041,-0.5777320569766998,0.4978286862281847,-0.4788540810092569,-0.4744605716551598,-0.4554561322349466,-0.42407893552884857,0.3575946087661066,0.34750186010194883,-0.29512853034809833,-0.2865481251403095,-0.2807538399036127,-0.23961897996406858,-0.2200701267869775,-0.20292083609568204,-0.20025912721834713,-0.19696341315941002,-0.19325525125383416,0.1858722692990594,-0.13493140595910283,-0.11971489757521771,-0.11953820539408874,-0.09044363996242746,-0.08036761907620886,0.0742457084762456,0.06443308283218328,-0.06427428262819189,-0.055467887474549914,0.05496276331379994,0.03628183895637217,0.03357423216968832,0.030462528146312545,-0.025935686897676426,-0.016628714179750335,X,X,X,X,X,X
