id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
246,0.921987,ospf,-,INT,20,0,1280,0,20.607666,254,0,10551.125,0,0,0,48.525633,0,52.253805,0,0,0,0,0,0,0,0,64,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Backdoor,1
483,0.000003,chaos,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,Backdoor,1
513,0.489758,ospf,-,INT,20,0,1040,0,38.794669,254,0,16138.58203,0,0,0,25.776736,0,29.430768,0,0,0,0,0,0,0,0,52,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Backdoor,1
524,0.000009,dcn,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,Backdoor,1
694,0.237768,tcp,-,FIN,10,8,454,410,71.498269,254,252,13761.31348,12079.00195,2,2,25.132,33.073715,1487.055226,47.179375,255,2995528503,3425110811,255,0.049062,0.006248,0.042814,45,51,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,1
905,0.837789,tcp,-,FIN,10,8,453,422,20.291505,254,252,3895.968994,3533.109131,2,2,93.074444,110.57757,4792.917431,187.956609,255,3109462116,2147682259,255,0.162926,0.063745,0.099181,45,53,0,0,2,1,1,1,1,1,0,0,0,2,1,0,Backdoor,1
1067,0.000009,gre,-,INT,2,0,156,0,111111.1072,254,0,69333328,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,78,0,0,0,1,2,1,1,1,63,0,0,0,1,1,0,Backdoor,1
1088,0.214862,tcp,-,FIN,8,8,364,524,69.81225,62,252,11877.39063,17090.03906,1,2,30.694571,29.333428,1567.059607,37.662328,255,3389195328,3038537548,255,0.057002,0.008847,0.048155,46,66,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,1
1144,1.244202,ospf,-,INT,28,0,3024,0,21.700656,254,0,18749.36719,0,0,0,46.081555,0,57.727293,0,0,0,0,0,0,0,0,108,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Backdoor,1
1151,1.171427,cbt,-,INT,4,0,360,0,2.560979,254,0,1843.904907,0,0,0,390.475656,0,552.206063,0,0,0,0,0,0,0,0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,Backdoor,1
1282,28.213135,ospf,-,INT,20,0,1280,0,0.673445,254,0,344.803925,0,0,0,1484.90175,0,1831.332375,0,0,0,0,0,0,0,0,64,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Backdoor,1
1335,0.466699,ospf,-,INT,18,0,2858,0,36.426047,254,0,46282.50781,0,0,0,27.452883,0,32.106723,0,0,0,0,0,0,0,0,159,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Backdoor,1
1422,0.01272,udp,-,CON,2,2,76,130,235.849057,254,60,23899.37109,40880.50391,0,0,0.009,0.003,0,0,0,0,0,0,0,0,0,38,65,0,0,1,0,1,1,1,1,0,0,0,1,1,0,Backdoor,1
1498,0.000003,sctp,-,INT,2,0,78,0,333333.3215,254,0,104000000,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Backdoor,1
1625,0.000008,argus,-,INT,2,0,180,0,125000.0003,254,0,90000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,Backdoor,1
1703,0.000003,igp,-,INT,2,0,180,0,333333.3215,254,0,239999984,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,90,0,0,0,10,2,10,10,10,10,0,0,0,10,10,0,Backdoor,1
