id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
245,0.921987,ospf,-,INT,20,0,1280,0,20.607666,254,0,10551.125,0,0,0,48.525633,0,52.253805,0,0,0,0,0,0,0,0,64,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,Backdoor,Normal
523,9.00E-06,dcn,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,Backdoor,Normal
693,0.237768,tcp,-,FIN,10,8,454,410,71.498269,254,252,13761.31348,12079.00195,2,2,25.132,33.073715,1487.055226,47.179375,255,2995528503,3425110811,255,0.049062,0.006248,0.042814,45,51,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,Normal
904,0.837789,tcp,-,FIN,10,8,453,422,20.291505,254,252,3895.968994,3533.109131,2,2,93.074444,110.57757,4792.917431,187.956609,255,3109462116,2147682259,255,0.162926,0.063745,0.099181,45,53,0,0,2,1,1,1,1,1,0,0,0,2,1,0,Backdoor,Normal
2646,0.568468,tcp,ftp,FIN,14,12,700,818,43.977851,254,252,9147.392578,10554.68457,4,4,41.979999,48.748184,2108.272493,55.822219,255,394608571,1208926780,255,0.062072,0.032235,0.029837,50,68,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Backdoor,Normal
3558,0.446223,tcp,-,FIN,10,10,548,468,42.579608,254,252,8856.558594,7565.724121,2,2,49.580333,48.022332,3456.551608,111.06643,255,149174282,3291163244,255,0.078333,0.007903,0.07043,55,47,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,Normal
4752,0.202808,tcp,-,FIN,10,6,626,268,73.961582,254,252,22247.64453,8835.943359,2,1,20.824778,39.077602,1102.915062,63.554551,255,739822866,2157517942,255,0.060187,0.007417,0.05277,63,45,0,0,3,1,1,1,1,1,0,0,0,1,1,0,Backdoor,Normal
6447,0.295054,tcp,-,FIN,8,8,364,640,50.838154,254,252,8649.264648,15183.66211,1,2,42.037001,34.16057,2236.848908,46.249461,255,2322020939,1247014223,255,0.086181,0.055927,0.030254,46,80,0,0,5,1,1,1,1,1,0,0,0,1,1,0,Backdoor,Normal
45133,0.578658,tcp,-,FIN,8,8,364,516,25.922048,254,252,4410.20459,6248.941895,1,2,82.665426,72.48457,4932.08704,121.978094,255,3533120745,1271306566,255,0.156398,0.070561,0.085837,46,65,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,Normal
45716,0.179517,tcp,-,FIN,8,8,364,418,83.557546,254,252,14215.92383,16310.43262,1,2,25.645285,22.820143,1463.397847,37.721797,255,2739009767,503629124,255,0.052559,0.00778,0.044779,46,52,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Backdoor,Normal
46182,0.327231,tcp,http,FIN,10,8,856,1058,51.95107,62,252,18849.07031,22638.44336,2,2,36.359,36.48743,1910.05631,43.974559,255,3823608813,3022242193,255,0.083944,0.071116,0.012828,86,132,1,109,1,1,1,1,1,1,0,0,1,1,1,0,Backdoor,Normal
46205,0.747508,tcp,http,FIN,10,6,1014,268,20.066675,254,252,9771.132812,2397.298828,2,1,79.787,137.664406,4213.014605,226.18675,255,2189780615,2780114302,255,0.198413,0.059182,0.139231,101,45,1,0,2,1,1,1,1,1,0,0,1,1,1,0,Backdoor,Normal
46279,0.640533,tcp,-,FIN,10,8,548,382,26.540398,254,252,6169.861816,4184.015625,2,2,71.170333,78.252711,3696.683804,95.020219,255,3172642116,2863762258,255,0.175911,0.092038,0.083873,55,48,0,0,1,1,2,1,1,1,0,0,0,1,7,0,Backdoor,Normal
46417,2.674214,tcp,-,FIN,10,8,620,354,6.357008,254,252,1669.275635,927.375305,2,1,294.866889,368.980281,21972.90846,613.625875,255,1229272315,4259824000,255,0.182308,0.091351,0.090957,62,44,0,0,4,1,2,1,1,1,0,0,0,3,1,0,Backdoor,Normal
46463,0.630359,tcp,http,FIN,10,6,1582,268,23.795964,254,252,18072.24219,2842.824463,2,1,67.401111,110.464797,4020.770706,186.732438,255,2164391053,612381010,255,0.121889,0.078029,0.04386,158,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Backdoor,Normal
46489,0.336956,tcp,http,FIN,12,10,1176,1114,62.322678,62,252,25593.8457,23813.19922,3,3,30.632364,35.966332,1576.317196,54.725387,255,2624958115,1072040923,255,0.053657,0.006618,0.047039,98,111,2,1,1,1,1,1,1,1,0,0,1,1,1,0,Backdoor,Normal
