id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
246,0.921987,ospf,-,INT,20,0,1280,0,20.607666,254,0,10551.125,0,0,0,48.525633,0,52.253805,0,0,0,0,0,0,0,0,64,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,DoS,Normal
287,1.173262,tcp,-,FIN,16,12,2080,1746,23.012763,254,252,13296.2627,10916.57324,5,4,78.21747,100.93018,3940.719692,122.909242,255,2090124388,4091386222,255,0.176776,0.06238,0.114396,130,146,0,0,1,1,1,1,1,1,0,0,0,1,1,0,DoS,Normal
336,1.438237,tcp,http,FIN,10,10,958,2726,13.210619,62,252,4800.321777,13650.0459,2,2,159.804111,152.291438,10857.72385,205.263688,255,750893150,797708189,255,0.141729,0.066968,0.074761,96,273,1,895,2,1,1,1,1,1,0,0,1,1,1,0,DoS,Normal
338,1.465404,tcp,http,FIN,10,10,800,1018,12.965707,62,252,3930.656494,5006.12793,2,2,162.822667,151.279328,10706.08605,215.94,255,3499888983,2363001486,255,0.252379,0.103293,0.149086,80,102,1,55,2,1,2,1,1,1,0,0,1,1,1,0,DoS,Normal
422,0.338931,tcp,http,FIN,10,8,796,1024,50.157703,62,252,16923.79883,21148.84766,2,2,37.659,42.555,1937.961392,60.596176,255,967118013,4120194830,255,0.091635,0.040255,0.05138,80,128,1,90,2,1,1,1,1,1,0,0,1,1,1,0,DoS,Normal
429,0.340732,tcp,http,FIN,10,8,842,1670,49.892583,254,252,17796.97852,34326.09766,2,2,37.859111,41.314715,1873.569022,59.201719,255,1662547502,1893834589,255,0.081875,0.050825,0.03105,84,209,1,430,1,1,1,1,1,1,0,0,1,1,1,0,DoS,Normal
446,35.181515,tcp,smtp,FIN,4144,622,5487011,26990,135.440445,254,252,1247402.125,6127.536133,2070,2,8.538973,56.776277,1048.108498,65.390594,255,1246500401,2594456459,255,0.079306,0.025946,0.05336,1324,43,0,0,1,1,1,1,1,2,0,0,0,1,1,0,DoS,Normal
511,1.246909,mux,-,INT,4,0,400,0,2.405949,254,0,1924.759521,0,0,0,415.636344,0,587.788625,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,DoS,Normal
514,1.246909,mux,-,INT,4,0,400,0,2.405949,254,0,1924.759521,0,0,0,415.636344,0,587.788625,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,2,2,3,0,0,0,2,3,0,DoS,Normal
527,5.00E-06,hmp,-,INT,2,0,200,0,200000.0051,254,0,160000000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,DoS,Normal
529,5.00E-06,hmp,-,INT,2,0,200,0,200000.0051,254,0,160000000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,DoS,Normal
567,1.914575,tcp,-,FIN,26,26,3444,3254,26.637766,254,252,13839.10254,13074.44238,10,10,76.582998,72.995398,4000.316548,98.159609,255,4081478244,3770194246,255,0.101534,0.058138,0.043396,132,125,0,0,2,1,1,1,1,1,0,0,0,2,1,0,DoS,Normal
586,1.285564,tcp,http,FIN,12,10,1012,1688,16.335243,62,252,5774.897461,9458.883789,2,2,116.845635,129.689109,8244.675429,165.303672,255,2106215216,3090540851,255,0.203335,0.118359,0.084976,84,169,1,379,3,1,3,3,1,1,0,0,1,3,1,0,DoS,Normal
592,3.00E-06,mfe-nsp,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,DoS,Normal
594,9.00E-06,merit-inp,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,1,1,3,0,0,0,3,3,0,DoS,Normal
676,4.273954,tcp,-,FIN,32,16,26316,1596,10.996843,254,252,47719.74609,2802.089111,13,3,137.130801,281.186062,19281.30209,767.049813,255,1239267449,3727022316,255,0.122099,0.056159,0.06594,822,100,0,0,2,1,1,1,1,3,0,0,0,1,1,0,DoS,Normal
699,0.921987,ospf,-,INT,20,0,1280,0,20.607666,254,0,10551.125,0,0,0,48.525633,0,52.253805,0,0,0,0,0,0,0,0,64,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,DoS,Normal
700,0.921987,ospf,-,INT,20,0,1280,0,20.607666,254,0,10551.125,0,0,0,48.525633,0,52.253805,0,0,0,0,0,0,0,0,64,0,0,0,1,2,1,1,1,2,0,0,0,1,1,0,DoS,Normal
706,9.00E-06,sctp,-,INT,2,0,104,0,111111.1072,254,0,46222220,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,2,2,1,1,2,0,0,0,1,1,0,DoS,Normal
707,9.00E-06,sctp,-,INT,2,0,104,0,111111.1072,254,0,46222220,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,52,0,0,0,1,2,2,1,1,2,0,0,0,1,1,0,DoS,Normal
735,0.266376,tcp,http,FIN,10,8,848,1014,63.819566,254,252,22945.01172,26669.07031,2,2,29.597333,34.892855,1456.142061,50.494645,255,2813253090,3347160439,255,0.071552,0.021051,0.050501,85,127,1,90,1,1,1,1,1,1,0,0,1,1,1,0,DoS,Normal
810,8.00E-06,vmtp,-,INT,2,0,200,0,125000.0003,254,0,100000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,1,1,4,0,0,0,2,3,0,DoS,Normal
