id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
11940,2.626521,tcp,-,FIN,38,42,1868,6618,30.077809,254,252,5540.408691,19679.26367,16,19,70.987055,61.425659,3427.365774,3143.116,255,3111226258,3606126238,255,0.185935,0.107622,0.078313,49,158,0,0,2,1,1,1,1,2,0,0,0,2,2,0,Generic,Normal
12098,0.940122,tcp,-,FIN,14,12,2726,1246,26.592293,254,252,21546.13867,9726.397461,4,4,68.413695,80.408906,3987.093655,113.943664,255,418739281,1409866317,255,0.108824,0.055618,0.053206,195,104,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
12173,2.899771,tcp,smtp,FIN,24,22,8446,1792,15.518467,254,252,22332.79883,4720.372559,9,8,126.03613,135.258672,7847.498547,164.862125,255,2816649804,26527505,255,0.113379,0.059338,0.054041,352,81,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
12247,1.767486,tcp,-,FIN,10,8,2060,354,9.618181,254,252,8391.580078,1403.122925,2,1,186.388222,238.352281,12121.68468,304.474906,255,629734182,3755355420,255,0.186565,0.09901,0.087555,206,44,0,0,3,1,1,1,1,1,0,0,0,2,1,0,Generic,Normal
12264,18.711939,tcp,ssl,FIN,76,372,3962,498346,23.888492,254,252,1671.660034,212487.6563,4,183,249.491132,50.240473,37584.54718,17358.04153,255,841031156,2612942689,255,0.175223,0.072719,0.102504,52,1340,0,0,4,1,4,3,1,4,0,0,0,3,4,0,Generic,Normal
12293,0.664567,tcp,http,FIN,10,8,1194,552,25.580566,254,252,12940.75684,5814.312012,2,2,73.840778,81.88257,3893.356009,142.084641,255,246441548,336764644,255,0.100959,0.049486,0.051473,119,69,1,0,1,1,3,1,1,1,0,0,1,1,1,0,Generic,Normal
12297,1.019496,tcp,smtp,FIN,14,10,4938,882,22.560168,254,252,35986.41016,6230.529785,4,3,73.280076,104.903555,4510.264181,127.217891,255,977926576,809662398,255,0.142662,0.075355,0.067307,353,88,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
12300,1.051614,tcp,smtp,FIN,24,20,9046,1842,40.889526,254,252,65955.75781,13312.86914,9,8,45.722349,53.309051,2640.226474,75.47025,255,2573057212,1153042268,255,0.074699,0.023659,0.05104,377,92,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
12373,0.751109,tcp,smtp,FIN,24,20,8852,1774,57.248681,254,252,90362.38281,17957.44727,9,8,32.656912,38.914684,1708.220763,43.604773,255,804966493,854768329,255,0.034976,0.011037,0.023939,369,89,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
12390,0.558773,tcp,-,FIN,10,6,500,268,26.844533,254,252,6442.687988,3207.026855,2,1,62.085889,100.017,3236.47547,180.056656,255,2912129690,2058724924,255,0.077764,0.026656,0.051108,50,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
12462,1.494946,tcp,http,FIN,28,134,1894,169716,107.696198,254,252,9776.941406,901437.25,2,65,55.368371,9.92615,2758.031173,1220.854834,255,1809035660,2299040860,255,0.221847,0.117056,0.104791,68,1267,1,81780,1,1,1,1,1,1,0,0,1,1,2,0,Generic,Normal
12710,0.633686,tcp,smtp,FIN,18,16,1580,1872,52.076264,254,252,18848.45117,22156.08398,6,6,36.486941,41.779133,1836.011392,48.509082,255,3313783228,2620878584,255,0.053918,0.00699,0.046928,88,117,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
12773,0.169002,tcp,-,FIN,12,6,6316,268,100.590528,254,252,274079.5938,10603.42481,3,1,15.363819,32.3184,866.580677,44.950203,255,3878468252,3738893537,255,0.051223,0.006762,0.044461,526,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
12849,1.243872,tcp,-,FIN,10,8,468,354,13.667001,254,252,2714.105469,1993.77417,2,1,134.504556,166.396281,7841.083841,296.105844,255,1300995363,595187176,255,0.145783,0.079093,0.06669,47,44,0,0,5,1,2,1,1,5,0,0,0,3,5,0,Generic,Normal
13251,1.199049,tcp,http,FIN,14,38,1344,42122,42.533708,254,252,8326.598633,273643.5313,2,16,92.234538,30.312972,5246.656586,3741.982874,255,1172181139,3002209415,255,0.195147,0.076786,0.118361,96,1108,1,19968,2,1,1,1,1,1,0,0,1,1,1,0,Generic,Normal
13261,0.829247,tcp,-,FIN,12,8,4698,354,22.912353,254,252,41550.94922,2990.665039,3,1,72.190088,99.277859,4511.086009,143.102609,255,992291540,1288223385,255,0.255899,0.134299,0.1216,392,44,0,0,2,1,1,1,1,2,0,0,0,1,5,0,Generic,Normal
13328,1.720654,tcp,http,FIN,24,24,6420,11598,27.315195,254,252,28607.72656,51678.02344,9,10,74.811041,71.035825,3617.119501,3697.871673,255,4140747477,2925178999,255,0.101473,0.042215,0.059258,268,483,1,1474,1,1,1,1,1,1,0,0,1,1,1,0,Generic,Normal
13825,0.931883,tcp,-,FIN,12,10,1116,546,22.535018,254,252,8782.21875,4223.706055,3,3,81.549639,88.250664,4497.228869,110.084102,255,1338002161,4124173587,255,0.167645,0.137618,0.030027,93,55,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
13834,4.115285,tcp,smtp,FIN,24,20,8894,1838,10.448851,254,252,16570.41992,3396.119629,9,8,178.925435,207.974953,15350.36429,466.761469,255,2530079307,3633858610,255,0.156472,0.10392,0.052552,371,92,0,0,1,1,2,1,1,2,0,0,0,2,1,0,Generic,Normal
13939,0.569187,tcp,-,FIN,10,8,480,376,29.867162,254,252,6071.818359,4624.139648,2,2,63.038222,71.470859,3087.325968,113.357859,255,2872168547,2381753714,255,0.175184,0.068885,0.106299,48,47,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
14333,0.815466,tcp,http,FIN,10,12,1140,6520,25.752147,254,252,10065.41016,58636.41406,2,4,90.607333,69.171727,5030.415483,4951.439627,255,177118464,3749337787,255,0.076708,0.053796,0.022912,114,543,1,2739,1,1,1,1,1,1,0,0,1,2,1,0,Generic,Normal
14466,0.660487,tcp,http,FIN,10,8,968,1644,25.738584,254,252,10561.90332,17429.5625,2,2,73.387444,89.526141,4762.368369,181.816812,255,3884639057,103286229,255,0.067561,0.022187,0.045374,97,206,1,407,3,1,3,3,1,3,0,0,1,3,3,0,Generic,Normal
15706,1.681389,tcp,smtp,FIN,14,10,2714,742,13.679167,254,252,11994.84473,3178.324707,4,3,127.596534,175.909109,8109.109331,336.865313,255,637348177,3676510892,255,0.186218,0.098192,0.088026,194,74,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Generic,Normal
16419,0.529168,tcp,ftp,FIN,14,14,2018,822,51.023493,254,252,28331.26758,11550.20703,4,5,40.632308,38.624,2062.007597,47.612199,255,1447121981,1578124230,255,0.040724,0.027052,0.013672,144,59,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Generic,Normal
16611,0.569097,tcp,ssl,FIN,38,16,35114,4746,93.129997,254,252,480621.0625,62555.24219,16,4,15.353297,35.362733,1346.228629,2201.120273,255,3888967907,2169891660,255,0.079126,0.038647,0.040479,924,297,0,0,1,1,1,1,1,1,0,0,0,20,1,0,Generic,Normal
16842,0.308396,tcp,http,FIN,10,8,1098,1964,55.123929,254,252,25655.32617,44592.01563,2,2,34.266222,33.731855,1785.639496,58.974562,255,2041953229,464298172,255,0.103062,0.056309,0.046753,110,246,1,566,3,1,3,3,1,3,0,0,1,3,3,0,Generic,Normal
17679,0.408471,tcp,http,FIN,10,6,1558,268,36.722314,254,252,27478.08398,4387.092285,2,1,42.235111,72.537,2474.319775,109.46982,255,129977796,4265493999,255,0.105688,0.045784,0.059904,156,45,1,0,4,1,1,2,1,1,0,0,1,2,1,0,Generic,Normal
17773,0.860103,tcp,smtp,FIN,38,22,31148,1954,68.596435,254,252,282096.4375,17356.06055,16,8,23.246026,39.281617,1566.229697,50.678625,255,2294885529,2490636951,255,0.066217,0.013393,0.052824,820,89,0,0,1,1,1,1,1,1,0,0,0,27,1,0,Generic,Normal
18009,9.234215,tcp,http,FIN,10,10,1146,928,2.057565,254,252,894.066284,724.263,2,2,1026.023889,1021.257687,89425.98594,2533.8775,255,1137157966,1093294637,255,0.109856,0.042126,0.06773,115,93,1,63,4,1,5,4,1,4,0,0,1,4,4,0,Generic,Normal
19463,8.00E-06,udp,-,INT,2,0,94,0,125000.0003,254,0,47000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,47,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Generic,Normal
19811,1.186481,tcp,-,FIN,20,8,16864,436,22.756369,254,252,108023.6406,2575.683838,7,2,62.446369,153.189,4614.169282,272.748094,255,842423029,3991212808,255,0.232983,0.113355,0.119628,843,55,0,0,1,1,1,1,1,1,0,0,0,18,1,0,Generic,Normal
19993,0.306039,tcp,http,FIN,10,6,1402,268,49.01336,254,252,32989.25781,5855.462891,2,1,30.391444,49.840398,1576.10366,72.352828,255,3480362688,3083215285,255,0.097652,0.056834,0.040818,140,45,1,0,3,1,3,3,1,3,0,0,1,3,3,0,Generic,Normal
20458,0.705993,tcp,http,FIN,10,8,1398,2262,24.079559,254,252,14266.43066,22436.48242,2,2,78.443667,92.22443,4036.23339,118.087711,255,460312176,3905090107,255,0.124577,0.059165,0.065412,140,283,1,734,1,1,1,1,1,1,0,0,1,1,1,0,Generic,Normal
20902,0.473845,tcp,-,FIN,12,8,1612,436,40.0975,254,252,24953.30664,6449.366211,3,2,38.633635,58.89643,1989.477618,70.067273,255,3998272313,611515541,255,0.087665,0.061569,0.026096,134,55,0,0,3,1,1,1,1,1,0,0,0,2,1,0,Generic,Normal
