id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
425,0.320574,tcp,-,FIN,10,6,568,268,46.791071,254,252,12777.08203,5589.973145,2,1,35.619333,56.593398,1710.907333,80.817719,255,2245818532,2311004059,255,0.086109,0.036982,0.049127,57,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode,Normal
441,0.52179,tcp,-,FIN,10,6,684,268,28.747196,254,252,9444.412109,3434.331543,2,1,57.857444,92.87,3218.618558,145.555609,255,1622845501,129146287,255,0.110099,0.057437,0.052662,68,45,0,0,1,1,1,1,1,1,0,0,0,1,1,0,Shellcode,Normal
447,0.37681,tcp,-,FIN,10,6,562,268,39.807859,254,252,10742.81445,4755.712402,2,1,39.118222,63.509398,1974.184428,82.903047,255,1691428778,2071679324,255,0.087666,0.05926,0.028406,56,45,0,0,2,1,1,1,1,1,0,0,0,1,2,0,Shellcode,Normal
582,0.538437,tcp,-,FIN,10,8,518,354,31.572867,254,252,6938.601562,4605.924316,2,1,57.501778,68.283141,3645.840403,122.526391,255,1595099619,3023502726,255,0.141899,0.060447,0.081452,52,44,0,0,1,1,1,1,1,1,0,0,0,1,2,0,Shellcode,Normal
588,0.221558,tcp,-,FIN,10,6,628,268,67.702361,254,252,20437.08594,8088.175293,2,1,22.025222,41.935398,1143.157907,64.990223,255,2758651049,1205195403,255,0.063045,0.011872,0.051173,63,45,0,0,2,1,1,1,1,1,0,0,0,2,1,0,Shellcode,Normal
723,0.347434,tcp,-,FIN,10,6,724,268,43.173666,254,252,15012.92285,5157.813965,2,1,33.523,62.757602,1997.917153,97.281898,255,3978417235,3786988019,255,0.059358,0.033636,0.025722,72,45,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Shellcode,Normal
782,9.00E-06,udp,-,INT,2,0,224,0,111111.1072,254,0,99555552,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,112,0,0,0,7,2,2,1,1,2,0,0,0,3,2,0,Shellcode,Normal
939,2.417154,tcp,-,FIN,10,8,764,354,7.033064,254,252,2277.058105,1026,2,1,256.094,330.750719,17030.4801,445.535656,255,2362014810,1728327790,255,0.168365,0.101893,0.066472,76,44,0,0,5,1,1,1,1,1,0,0,0,2,1,0,Shellcode,Normal
956,0.153847,tcp,-,FIN,10,6,732,268,97.499468,254,252,34267.8125,11647.93652,2,1,16.720444,26.663,921.714472,45.354078,255,3835905617,1947290997,255,0.071611,0.020513,0.051098,73,45,0,0,1,1,1,1,1,2,0,0,0,1,1,0,Shellcode,Normal
965,8.00E-06,udp,-,INT,2,0,132,0,125000.0003,254,0,66000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,66,0,0,0,3,2,1,1,1,2,0,0,0,1,2,0,Shellcode,Normal
