id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
387,0.201833,tcp,http,FIN,10,6,1308,268,74.318869,254,252,46692.07031,8878.62793,2,1,20.555,37.485,1029.959401,56.74282,255,2213049113,3720986296,255,0.059694,0.014399,0.045295,131,45,1,0,1,1,1,1,1,1,0,0,1,1,2,0,Worms,Normal
821,4.23501,tcp,http,FIN,46,236,2314,308456,66.351671,254,252,4276.730957,580209.25,2,116,94.089292,17.785219,4511.060777,2129.54145,255,3840933853,1541394341,255,0.206742,0.108835,0.097907,50,1307,1,149237,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
1111,0.196822,tcp,http,FIN,10,6,1022,268,76.210992,254,252,37394.19141,9104.672852,2,1,20.148333,36.926398,1068.815062,61.553535,255,2705486571,623528626,255,0.064706,0.012189,0.052517,102,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
1586,1.260943,tcp,http,FIN,10,6,1282,268,11.895858,254,252,7321.504395,1421.158569,2,1,138.352778,245.242,9637.030379,450.915937,255,560953154,4194638564,255,0.098667,0.034732,0.063935,128,45,1,0,4,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
3662,0.678688,tcp,http,FIN,10,6,1306,268,22.101467,254,252,13862.04004,2640.388672,2,1,71.071667,114.114398,3585.672173,175.462531,255,94971482,1211350451,255,0.187901,0.10811,0.079791,131,45,1,0,1,1,1,1,1,1,0,0,1,2,1,0,Worms,Normal
5297,0.928794,tcp,http,FIN,10,6,1302,268,16.149975,254,252,10094.81055,1929.383667,2,1,96.318667,157.907406,5106.424147,254.466859,255,1102451960,1730706679,255,0.239367,0.139249,0.100118,130,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
6303,0.226263,tcp,http,FIN,10,6,1302,268,66.294533,254,252,41438.50391,7919.986816,2,1,23.494667,42.942801,1241.200823,68.33443,255,701662753,752664488,255,0.058136,0.011539,0.046597,130,45,1,0,1,1,1,1,1,1,0,0,1,1,2,0,Worms,Normal
6481,0.390372,tcp,http,FIN,14,6,8682,268,48.671523,254,252,165216.7656,4590.493164,4,1,24.145231,70.977797,1517.354638,95.391852,255,2048442348,1642264782,255,0.072417,0.035482,0.036935,620,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
6667,5.566142,tcp,http,FIN,64,376,3114,482584,78.869708,254,252,4406.642578,691755.25,2,185,88.351463,14.691118,4387.322053,1946.498734,255,2449907520,1243303547,255,0.153739,0.071058,0.082681,49,1283,1,233472,3,1,1,3,1,2,0,0,1,3,1,0,Worms,Normal
7207,0.328449,tcp,http,FIN,10,6,1296,268,45.669189,254,252,28424.50391,5455.945801,2,1,34.029222,56.455,1681.684053,78.133281,255,1738862795,734401623,255,0.095843,0.046171,0.049672,130,45,1,0,1,1,5,1,1,1,0,0,1,1,1,0,Worms,Normal
8496,0.198608,tcp,http,FIN,10,6,1294,268,75.52566,254,252,46926.60938,9022.798828,2,1,20.580556,38.292,1099.949351,64.418328,255,4197198648,1509543957,255,0.053521,0.007142,0.046379,129,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
8792,0.689624,tcp,http,FIN,10,6,1302,268,21.750983,254,252,13595.81445,2598.517334,2,1,67.247333,123.945602,3623.624485,183.511219,255,2713458037,1858762884,255,0.103933,0.069892,0.034041,130,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
8852,0.716176,tcp,http,FIN,10,8,1314,354,23.737183,254,252,13214.62891,3462.836182,2,1,70.949222,95.113711,5325.112416,119.182578,255,1751333877,699434397,255,0.099212,0.050377,0.048835,131,44,1,0,2,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
8890,2.008628,tcp,http,FIN,38,204,1988,263696,119.982402,254,252,7710.736328,1045107.438,2,100,54.287245,9.438502,2700.060844,1144.644601,255,1224600597,3064456751,255,0.140677,0.0688,0.071877,52,1293,1,127488,2,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
10689,0.344051,tcp,http,FIN,10,6,1296,268,43.598187,254,252,27135.51172,5208.530273,2,1,36.186111,62.513801,1919.077426,105.955047,255,1127049042,905114555,255,0.106057,0.031473,0.074584,130,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
11471,0.796534,tcp,http,FIN,10,8,1296,354,21.342466,254,252,11720.78027,3113.489258,2,1,88.392556,103.41557,5089.784871,176.667234,255,2138625795,1026828012,255,0.13926,0.072619,0.066641,130,44,1,0,5,1,1,2,1,1,0,0,1,2,1,0,Worms,Normal
11515,1.180302,tcp,http,FIN,10,8,1308,354,14.403093,254,252,7984.396973,2101.157227,2,1,131.042,154.405,8204.585786,212.396578,255,2239850708,2157601874,255,0.148083,0.099457,0.048626,131,44,1,0,2,1,1,1,1,1,0,0,1,3,1,0,Worms,Normal
43984,3.99375,tcp,http,FIN,48,236,2416,308476,70.860718,254,252,4739.405273,615299.375,2,116,84.973407,16.561085,4002.976879,1923.690198,255,2507864534,1188416310,255,0.217738,0.101218,0.11652,50,1307,0,0,1,1,1,1,1,1,0,0,0,1,2,0,Worms,Normal
44486,0.560773,tcp,http,FIN,10,6,1306,268,26.748791,254,252,16776.8418,3195.588867,2,1,62.216222,94.112602,3096.431149,153.794734,255,488399530,924960196,255,0.146868,0.090199,0.056669,131,45,1,0,1,1,1,1,1,1,0,0,1,2,1,0,Worms,Normal
44896,0.544761,tcp,http,FIN,10,6,1282,268,27.535011,254,252,16946.88086,3289.515869,2,1,58.176889,89.090203,3011.273709,139.396953,255,2560477079,1214634508,255,0.157189,0.099303,0.057886,128,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
45794,1.428784,tcp,http,FIN,10,8,1292,354,11.898229,254,252,6511.831055,1735.741699,2,1,154.344444,188.606422,8772.672668,338.968969,255,3437754332,294354518,255,0.216481,0.108536,0.107945,129,44,1,0,2,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
47087,0.489608,tcp,http,FIN,14,6,8682,268,38.806556,254,252,131729.875,3660.071045,4,1,32.29,88.456602,2140.566103,125.556797,255,4052817148,3536144038,255,0.075372,0.047323,0.028049,620,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
47340,0.260798,tcp,http,FIN,10,6,1308,268,57.515777,254,252,36135.24609,6871.218262,2,1,27.180222,45.143,1448.225397,62.970301,255,1696025488,4169273562,255,0.08648,0.035079,0.051401,131,45,1,0,1,1,1,1,1,1,0,0,1,1,1,0,Worms,Normal
47427,9.00E-06,udp,-,INT,2,0,2050,0,111111.1072,254,0,911111104,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,1025,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Worms,Normal
