id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
11930,0.000003,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,18,2,16,16,8,18,0,0,0,17,18,0,Generic,1
11931,0.000008,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,59,2,42,42,18,59,0,0,0,43,59,0,Generic,1
11933,0.000009,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,30,2,30,30,14,30,0,0,0,30,30,0,Generic,1
11934,0.000008,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,18,2,2,2,2,18,0,0,0,2,18,0,Generic,1
11935,0.000008,udp,dns,INT,2,0,114,0,125000.0003,254,0,57000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,57,0,0,0,59,2,42,42,18,59,0,0,0,43,59,0,Generic,1
11936,0.000009,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,30,2,30,30,14,30,0,0,0,30,30,0,Generic,1
11938,0.000006,udp,dns,INT,2,0,114,0,166666.6608,254,0,76000000,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,57,0,0,0,59,2,17,17,8,59,0,0,0,17,59,0,Generic,1
11939,0.000009,udp,dns,INT,2,0,114,0,111111.1072,254,0,50666664,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,57,0,0,0,35,2,26,26,9,35,0,0,0,27,35,0,Generic,1
11940,0.000003,udp,dns,INT,2,0,114,0,333333.3215,254,0,152000000,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,57,0,0,0,15,2,8,8,8,15,0,0,0,10,15,0,Generic,1
11941,2.626521,tcp,-,FIN,38,42,1868,6618,30.077809,254,252,5540.408691,19679.26367,16,19,70.987055,61.425659,3427.365774,3143.116,255,3111226258,3606126238,255,0.185935,0.107622,0.078313,49,158,0,0,2,1,1,1,1,2,0,0,0,2,2,0,Generic,1
