id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
107651,0.000005,unas,-,INT,2,0,200,0,200000.0051,254,0,160000000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,100,0,0,0,8,2,2,2,2,8,0,0,0,2,8,0,Exploits,1
61335,0.000006,udp,-,INT,2,0,104,0,166666.6608,254,0,69333328,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,52,0,0,0,4,2,1,1,1,4,0,0,0,1,4,0,Fuzzers,1
89804,0.000005,ttp,-,INT,2,0,200,0,200000.0051,254,0,160000000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,100,0,0,0,12,2,4,4,4,17,0,0,0,4,12,0,Exploits,1
104973,2.293522,tcp,http,FIN,34,172,1824,217197,89.382186,62,252,6177.398926,753199.6875,2,83,69.500667,12.631912,3601.926209,1577.224278,255,589382110,3685592005,255,0.119798,0.052809,0.066989,54,1263,1,104877,2,1,1,2,1,1,0,0,1,2,1,0,DoS,1
84922,0.000009,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,7,2,5,4,4,10,0,0,0,5,7,0,DoS,1
94065,0.000006,unas,-,INT,2,0,200,0,166666.6608,254,0,133333328,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,100,0,0,0,8,2,2,2,2,13,0,0,0,2,8,0,Reconnaissance,1
78451,0.585687,tcp,http,FIN,10,6,828,268,25.61095,254,252,10189.74316,3059.654785,2,1,61.465222,103.771602,3387.828264,172.451828,255,2708534193,2924996529,255,0.091735,0.066825,0.02491,83,45,1,0,2,1,1,1,1,1,0,0,1,3,1,0,Reconnaissance,1
49691,0.256638,tcp,-,FIN,10,6,2228,268,58.448089,254,252,62531.66016,6982.598145,2,1,26.657667,44.441602,1373.733939,65.743281,255,1559512398,2492568985,255,0.086789,0.034427,0.052362,223,45,0,0,9,1,2,2,1,9,0,0,0,3,9,0,Fuzzers,1
74444,0.000003,unas,-,INT,2,0,200,0,333333.3215,254,0,266666656,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,2,2,2,2,5,0,0,0,5,5,0,Exploits,1
89569,0.176537,tcp,-,FIN,10,6,1612,268,84.96802,254,252,65753.92188,10150.8457,2,1,18.831111,32.136801,1066.162268,52.971855,255,3696224807,283871053,255,0.034456,0.015844,0.018612,161,45,0,0,5,1,1,1,1,5,0,0,0,1,5,0,Fuzzers,1
79357,0.557165,tcp,http,FIN,10,6,814,268,26.922006,254,252,10524.70898,3216.282227,2,1,61.907222,90.451602,3116.136094,170.085516,255,1695063724,339774077,255,0.160419,0.073173,0.087246,81,45,1,0,1,1,1,1,1,1,0,0,1,2,1,0,Reconnaissance,1
85090,0.282698,tcp,http,FIN,10,6,770,268,53.060155,254,252,19611.0332,6338.919922,2,1,29.419222,52.526199,1408.849738,72.921586,255,4227913776,1730324316,255,0.073532,0.020057,0.053475,77,45,1,0,2,1,1,1,1,1,0,0,1,1,1,0,Reconnaissance,1
50366,0.000009,rdp,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,5,2,1,1,1,7,0,0,0,1,5,0,Exploits,1
104075,4.545298,tcp,-,FIN,144,30,185832,1300,38.06131,254,252,324805.0938,2212.39624,69,1,31.449182,153.174594,5778.780235,405.502813,255,2023424553,2698552367,255,0.195519,0.103234,0.092285,1291,43,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Fuzzers,1
103428,1.504805,tcp,-,FIN,12,10,1022,828,13.955297,254,252,4981.376465,3965.962402,3,2,131.40354,160.239438,7731.172011,261.109172,255,4111308373,88414593,255,0.148715,0.062647,0.086068,85,83,0,0,10,1,2,2,2,3,0,0,0,3,3,0,Fuzzers,1
63809,0.000009,udp,-,INT,2,0,324,0,111111.1072,254,0,144000000,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,162,0,0,0,4,2,1,1,1,2,0,0,0,2,1,0,Exploits,1
103305,0.000009,unas,-,INT,2,0,200,0,111111.1072,254,0,88888888,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,2,2,3,0,0,0,3,3,0,Backdoor,1
85904,0.000002,udp,-,INT,2,0,1312,0,500000.0013,254,0,2624000000,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,656,0,0,0,3,2,1,1,1,1,0,0,0,2,1,0,Exploits,1
118087,0.00001,ospf,-,REQ,2,0,544,0,100000.0025,254,0,217600000,0,0,0,1118.1925,0,1118.1825,0,0,0,0,0,0,0,0,272,0,0,0,1,6,1,1,1,1,0,0,0,1,1,0,Exploits,1
116244,0.000004,pgm,-,INT,2,0,200,0,250000.0006,254,0,200000000,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,100,0,0,0,3,2,2,2,2,3,0,0,0,3,3,0,Reconnaissance,1
55868,1.009548,st2,-,INT,4,0,360,0,2.971627,254,0,2139.571533,0,0,0,336.516,0,475.900531,0,0,0,0,0,0,0,0,90,0,0,0,1,2,1,1,1,1,0,0,0,1,1,0,Exploits,1
56301,0.000008,netblt,-,INT,2,0,200,0,125000.0003,254,0,100000000,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,100,0,0,0,6,2,2,1,1,7,0,0,0,2,6,0,Exploits,1
73474,1.168493,tcp,-,FIN,48,12,54851,526,50.492385,254,252,367714.6563,3306.823242,21,1,24.098,88.286367,2267.064467,126.889156,255,130553299,675511820,255,0.285177,0.197335,0.087842,1143,44,0,0,4,1,1,1,1,2,0,0,0,2,2,0,Fuzzers,1
80347,7.171528,tcp,smtp,FIN,36,24,20253,1930,8.226978,62,252,21965.75195,2063.716553,14,8,204.900803,305.883469,21138.64909,734.369312,255,720634636,4000464204,255,0.249718,0.135473,0.114245,563,80,0,0,2,1,1,1,1,1,0,0,0,1,1,0,DoS,1
51418,1.667936,tcp,-,FIN,10,6,3160,268,8.993151,254,252,13640.81152,1074.381714,2,1,185.254667,320.716,13026.03772,590.134875,255,4142119603,4243273235,255,0.125537,0.064353,0.061184,316,45,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Exploits,1
82285,0.000009,udp,-,INT,2,0,104,0,111111.1072,254,0,46222220,0,0,0,0.009,0,0,0,0,0,0,0,0,0,0,52,0,0,0,5,2,1,1,1,2,0,0,0,3,3,0,Fuzzers,1
168553,0.000005,udp,-,INT,2,0,104,0,200000.0051,254,0,83200000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,52,0,0,0,4,2,1,1,1,3,0,0,0,1,3,0,Fuzzers,1
62985,0.000009,udp,-,REQ,2,0,104,0,111111.1072,254,0,46222220,0,0,0,39351.24,0,39351.236,0,0,0,0,0,0,0,0,52,0,0,0,6,6,3,3,2,6,0,0,0,3,6,0,Fuzzers,1
120574,1.560481,tcp,-,FIN,12,10,1110,838,13.45739,254,252,5218.903809,3870.601562,3,2,136.840361,161.089781,8184.841045,223.783437,255,2848761589,2835836231,255,0.169052,0.110672,0.05838,93,84,0,0,3,1,1,1,1,2,0,0,0,3,2,0,Fuzzers,1
